"","pais_c","ciudad1","quintilpc","ave_income_pc","ave_income_pcna","medianincome","homesize","access","sewer","mediana","fam4"
"40","COL","Bogota",5,3975279.40428125,3975279.40428125,2661768.15625,2.27803115418298,0.993569343349562,0.987660712057496,762560.5,15901117.617125
"41","COL","Cali",1,184888.867665657,184888.867665657,2e+05,3.60459453263356,0.997714693829614,0.981042779980986,631697.359375,739555.470662629
"42","COL","Cali",2,404595.310048339,404595.310048339,4e+05,3.46186432501888,0.995562868562643,0.98201307558694,631697.359375,1618381.24019336
"43","COL","Cali",3,633407.14639853,633407.14639853,633333.333333333,3.05667508435014,0.998574189432564,0.995820036417746,631697.359375,2533628.58559412
"44","COL","Cali",4,958168.647842296,958168.647842296,954415.066601563,2.54062845993443,1,0.990330070372074,631697.359375,3832674.59136918
"45","COL","Cali",5,2640988.32769677,2640988.32769677,1902083.33325195,2.17687780271355,1,0.995854311361909,631697.359375,10563953.3107871
"46","CRI","San Jose",1,66522.5815035105,66522.5815035105,71022.58203125,3.63871204113012,0.978690178743033,0.293214251393427,225000,266090.326014042
"47","CRI","San Jose",2,139639.739154427,139639.739154427,139749.99609375,3.48583592401729,0.98870121045574,0.299499101027655,225000,558558.956617707
"48","CRI","San Jose",3,227578.838750507,227578.838750507,224468.4,3.24658948986454,0.995148429243924,0.358806081275819,225000,910315.355002027
"49","CRI","San Jose",4,384347.04804114,384347.04804114,374953.923958333,2.99761312121977,0.996007840025011,0.383175210129505,225000,1537388.19216456
"50","CRI","San Jose",5,997408.160004164,997408.160004164,793896.666666667,2.47704452808408,0.997613063815971,0.45446783949207,225000,3989632.64001666
"51","ECU","Quito",1,89.9455782272013,89.9455782272013,98.6111111111111,3.97848920194218,0.984793041117506,0.956717881649198,260,359.782312908805
"52","ECU","Quito",2,171.195850398141,171.195850398141,170,3.94565344057308,0.971535894451534,0.969647875745235,260,684.783401592565
"53","ECU","Quito",3,261.108578078723,261.108578078723,262.25,3.70229813842255,0.976608053402402,0.984506402987624,260,1044.43431231489
"54","ECU","Quito",4,403.653898980256,403.653898980256,400,3.16750338826953,0.993824054502773,0.990598746602603,260,1614.61559592102
"55","ECU","Quito",5,1059.246043285,1059.246043285,900,2.41551314349509,0.994232063941579,0.984408761458796,260,4236.98417313999
"56","HND","Tegucigalpa",1,1015.11305403339,1015.11305403339,1200,4.3415628733554,0.872134094680358,0.598091568851324,3795.71428571429,4060.45221613355
